Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Friday,12-08-2022,18:00:00,40,109,51,,2,99,11,74
Friday,12-08-2022,19:00:00,48,118,53,,1,104,8,77
Friday,12-08-2022,20:00:00,49,110,36,,3,82,5,78
Friday,12-08-2022,21:00:00,48,85,25,,5,70,6,77
Friday,12-08-2022,22:00:00,58,68,20,,4,67,3,78
Friday,12-08-2022,23:00:00,71,72,17,,4,66,7,78
Saturday,13-08-2022,00:00:00,48,64,18,,4,59,8,77
Saturday,13-08-2022,01:00:00,27,54,15,,2,54,8,75
Saturday,13-08-2022,02:00:00,15,41,17,,1,53,9,75
Saturday,13-08-2022,03:00:00,21,48,14,,1,49,9,75
Saturday,13-08-2022,04:00:00,19,50,12,,,46,7,75
Saturday,13-08-2022,05:00:00,16,49,11,,3,47,7,75
Saturday,13-08-2022,06:00:00,20,44,15,,4,52,6,75
Saturday,13-08-2022,07:00:00,20,48,15,,4,58,,75
Saturday,13-08-2022,08:00:00,22,62,18,,4,62,6,75
Saturday,13-08-2022,09:00:00,27,80,21,,2,61,7,75
Saturday,13-08-2022,10:00:00,30,92,24,,0,63,9,76
Saturday,13-08-2022,11:00:00,32,95,26,,0,69,16,77
Saturday,13-08-2022,12:00:00,28,102,32,,6,68,6,78
Saturday,13-08-2022,13:00:00,29,104,31,,3,69,7,79
Saturday,13-08-2022,14:00:00,28,93,30,,2,68,7,79
Saturday,13-08-2022,15:00:00,39,75,31,,2,71,4,78
Saturday,13-08-2022,16:00:00,26,78,34,,3,70,4,77
Saturday,13-08-2022,17:00:00,44,74,28,,5,59,6,76
Saturday,13-08-2022,18:00:00,18,38,21,,7,52,8,73
Saturday,13-08-2022,19:00:00,8,33,27,,5,51,9,69
Saturday,13-08-2022,20:00:00,9,24,37,,5,54,9,66
Saturday,13-08-2022,21:00:00,25,28,36,,10,56,8,63
Saturday,13-08-2022,22:00:00,40,42,28,,10,76,8,62
Saturday,13-08-2022,23:00:00,67,74,28,,10,67,10,62
Sunday,14-08-2022,00:00:00,24,46,20,,13,59,5,61
Sunday,14-08-2022,01:00:00,18,44,37,,8,66,8,61
Sunday,14-08-2022,02:00:00,26,62,48,,5,74,7,62
Sunday,14-08-2022,03:00:00,32,58,32,,2,65,7,63
Sunday,14-08-2022,04:00:00,25,48,18,,1,54,7,63
Sunday,14-08-2022,05:00:00,8,38,12,,1,,7,63
Sunday,14-08-2022,06:00:00,10,38,12,,2,55,7,63
Sunday,14-08-2022,07:00:00,15,35,15,,1,59,7,61
Sunday,14-08-2022,08:00:00,20,47,16,,2,54,5,61
Sunday,14-08-2022,09:00:00,20,62,16,,2,63,5,61
Sunday,14-08-2022,10:00:00,12,61,21,,2,65,7,61
Sunday,14-08-2022,11:00:00,15,60,20,,3,63,7,60
Sunday,14-08-2022,12:00:00,19,51,21,,6,66,13,60
Sunday,14-08-2022,13:00:00,15,46,22,,7,68,10,62
Sunday,14-08-2022,14:00:00,9,40,22,,8,66,7,63
Sunday,14-08-2022,15:00:00,9,36,25,,5,71,7,65
Sunday,14-08-2022,16:00:00,19,39,23,,5,68,7,66
Sunday,14-08-2022,17:00:00,18,40,23,,6,64,8,66
Sunday,14-08-2022,18:00:00,28,36,29,,11,54,9,65
Sunday,14-08-2022,19:00:00,28,36,28,,12,54,7,64
Sunday,14-08-2022,20:00:00,10,33,22,,11,55,8,63
Sunday,14-08-2022,21:00:00,10,34,17,,9,56,9,62
Sunday,14-08-2022,22:00:00,12,35,16,,8,87,8,61
Sunday,14-08-2022,23:00:00,18,34,11,,8,57,8,60
Monday,15-08-2022,00:00:00,16,38,9,,6,54,8,58
Monday,15-08-2022,01:00:00,24,44,5,,3,49,8,56
Monday,15-08-2022,02:00:00,41,63,5,,4,47,7,54
Monday,15-08-2022,03:00:00,60,76,5,,3,48,8,53
Monday,15-08-2022,04:00:00,72,64,4,,2,48,5,52
Monday,15-08-2022,05:00:00,41,46,5,,2,49,9,52
Monday,15-08-2022,06:00:00,29,40,7,,2,53,8,51
Monday,15-08-2022,07:00:00,36,46,22,,2,65,8,52
Monday,15-08-2022,08:00:00,49,72,27,,2,73,9,54
Monday,15-08-2022,09:00:00,45,82,22,,3,85,11,57
Monday,15-08-2022,10:00:00,43,82,20,,2,98,5,63
Monday,15-08-2022,11:00:00,35,84,22,,2,102,7,69
Monday,15-08-2022,12:00:00,42,83,23,,5,102,8,75
Monday,15-08-2022,13:00:00,33,81,25,,4,68,8,77
Monday,15-08-2022,14:00:00,24,85,31,,5,59,20,78
Monday,15-08-2022,15:00:00,22,88,42,,5,30,6,76
Monday,15-08-2022,16:00:00,40,60,48,,5,28,8,72
Monday,15-08-2022,17:00:00,38,51,21,,6,56,8,70
Monday,15-08-2022,18:00:00,39,45,64,,5,60,8,67
Monday,15-08-2022,19:00:00,36,54,60,,7,77,6,65
Monday,15-08-2022,20:00:00,26,55,39,,6,83,8,63
Monday,15-08-2022,21:00:00,52,52,52,,5,58,8,61
Monday,15-08-2022,22:00:00,58,60,12,,4,56,9,62
Monday,15-08-2022,23:00:00,32,42,10,,3,34,10,62
Tuesday,16-08-2022,00:00:00,12,38,8,,3,30,8,62
Tuesday,16-08-2022,01:00:00,19,36,8,,6,53,8,62
Tuesday,16-08-2022,02:00:00,20,37,12,,7,53,8,61
Tuesday,16-08-2022,03:00:00,17,46,11,,7,67,5,60
Tuesday,16-08-2022,04:00:00,21,38,7,,7,68,6,58
Tuesday,16-08-2022,05:00:00,28,34,7,,5,45,8,58
Tuesday,16-08-2022,06:00:00,25,38,9,,4,39,8,58
Tuesday,16-08-2022,07:00:00,24,39,15,,5,43,9,58
Tuesday,16-08-2022,08:00:00,19,40,19,,4,43,8,56
Tuesday,16-08-2022,09:00:00,18,46,18,,2,63,8,55
Tuesday,16-08-2022,10:00:00,19,57,17,,4,61,7,54
Tuesday,16-08-2022,11:00:00,20,56,11,,3,42,6,52
